v8-version,5,8,283,38,0
code-creation,Builtin,5,0x1efae67b1d40,134,"ArrayBufferConstructor_ConstructStub"
code-creation,Builtin,5,0x1efae67b1de0,134,"ArrayBufferPrototypeGetByteLength"
code-creation,Builtin,5,0x1efae67b1e80,134,"ArrayBufferIsView"
code-creation,Stub,3,0x1efae67b1f20,2254,"RecordWriteStub"
code-creation,Stub,3,0x1efae67b2800,2254,"RecordWriteStub"
code-creation,Stub,3,0x1efae67b30e0,2254,"RecordWriteStub"
code-creation,Stub,3,0x1efae67b39c0,2257,"RecordWriteStub"
code-creation,Stub,3,0x1efae67b42a0,2242,"RecordWriteStub"
code-creation,Stub,3,0x1efae67b4b80,2270,"RecordWriteStub"
code-creation,Stub,3,0x1efae67b5460,2266,"RecordWriteStub"
code-creation,Stub,3,0x1efae67b5d40,2311,"RecordWriteStub"
code-creation,Stub,3,0x1efae67b6660,2253,"RecordWriteStub"
code-creation,Stub,3,0x1efae67b6f40,2284,"RecordWriteStub"
code-creation,Stub,3,0x1efae67b7840,2241,"RecordWriteStub"
code-creation,Stub,3,0x1efae67b8120,2272,"RecordWriteStub"
code-creation,Stub,3,0x1efae67b8a00,2265,"RecordWriteStub"
code-creation,Stub,3,0x1efae67b92e0,2284,"RecordWriteStub"
code-creation,Stub,3,0x1efae67b9be0,2300,"RecordWriteStub"
code-creation,Stub,3,0x1efae67ba4e0,2272,"RecordWriteStub"
code-creation,Stub,3,0x1efae67badc0,2266,"RecordWriteStub"
code-creation,Stub,3,0x1efae67bb6a0,2291,"RecordWriteStub"
code-creation,Stub,3,0x1efae67bbfa0,2285,"RecordWriteStub"
code-creation,Stub,3,0x1efae67bc8a0,2254,"RecordWriteStub"
code-creation,Stub,3,0x1efae67bd180,2300,"RecordWriteStub"
code-creation,Stub,3,0x1efae67bda80,2292,"RecordWriteStub"
code-creation,Builtin,5,0x1efae67be380,11484,"AsyncFunctionAwaitCaught"
code-creation,Builtin,5,0x1efae67c1060,11468,"AsyncFunctionAwaitUncaught"
code-creation,Builtin,5,0x1efae67c3d40,159,"AsyncFunctionAwaitRejectClosure"
code-creation,Builtin,5,0x1efae67c3de0,151,"AsyncFunctionAwaitResolveClosure"
code-creation,Builtin,5,0x1efae67c3e80,581,"AsyncFunctionPromiseCreate"
code-creation,Builtin,5,0x1efae67c40e0,175,"AsyncFunctionPromiseRelease"
code-creation,Builtin,5,0x1efae67c41a0,134,"BooleanConstructor"
code-creation,Builtin,5,0x1efae67c4240,134,"BooleanConstructor_ConstructStub"
code-creation,Builtin,5,0x1efae67c42e0,215,"BooleanPrototypeToString"
code-creation,Builtin,5,0x1efae67c43c0,211,"BooleanPrototypeValueOf"
code-creation,Builtin,5,0x1efae67c44a0,134,"CallSitePrototypeGetColumnNumber"
code-creation,Builtin,5,0x1efae67c4540,134,"CallSitePrototypeGetEvalOrigin"
code-creation,Builtin,5,0x1efae67c45e0,134,"CallSitePrototypeGetFileName"
code-creation,Builtin,5,0x1efae67c4680,134,"CallSitePrototypeGetFunction"
code-creation,Builtin,5,0x1efae67c4720,134,"CallSitePrototypeGetFunctionName"
code-creation,Builtin,5,0x1efae67c47c0,134,"CallSitePrototypeGetLineNumber"
code-creation,Builtin,5,0x1efae67c4860,134,"CallSitePrototypeGetMethodName"
code-creation,Builtin,5,0x1efae67c4900,134,"CallSitePrototypeGetPosition"
code-creation,Builtin,5,0x1efae67c49a0,134,"CallSitePrototypeGetScriptNameOrSourceURL"
code-creation,Builtin,5,0x1efae67c4a40,134,"CallSitePrototypeGetThis"
code-creation,Builtin,5,0x1efae67c4ae0,134,"CallSitePrototypeGetTypeName"
