v8-version,5,1,281,59,0
code-creation,Stub,15,0x2b515b212780,403,"BinaryOpICStub(MUL:Int32*Int32->Number)"
code-creation,Stub,15,0x2b515b212920,427,"BinaryOpICStub(MUL:Int32*Number->Number)"
code-creation,Stub,15,0x2b515b212ae0,244,"BinaryOpICStub(MUL:Int32*Smi->Int32)"
code-creation,Stub,15,0x2b515b212be0,403,"BinaryOpICStub(MUL:Int32*Smi->Number)"
code-creation,Stub,15,0x2b515b212d80,427,"BinaryOpICStub(MUL:Number*Int32->Number)"
code-creation,Stub,15,0x2b515b212f40,451,"BinaryOpICStub(MUL:Number*Number->Number)"
code-creation,Stub,15,0x2b515b213120,427,"BinaryOpICStub(MUL:Number*Smi->Number)"
code-creation,Stub,15,0x2b515b2132e0,244,"BinaryOpICStub(MUL:Smi*Int32->Int32)"
code-creation,Stub,15,0x2b515b2133e0,403,"BinaryOpICStub(MUL:Smi*Int32->Number)"
code-creation,Stub,15,0x2b515b213580,427,"BinaryOpICStub(MUL:Smi*Number->Number)"
code-creation,Stub,15,0x2b515b213740,244,"BinaryOpICStub(MUL:Smi*Smi->Int32)"
code-creation,Stub,15,0x2b515b213840,403,"BinaryOpICStub(MUL:Smi*Smi->Number)"
code-creation,Stub,15,0x2b515b2139e0,244,"BinaryOpICStub(MUL:Smi*Smi->Smi)"
code-creation,Stub,15,0x2b515b213ae0,212,"BinaryOpICStub(SAR:Int32*Smi->Int32)"
code-creation,Stub,15,0x2b515b213bc0,212,"BinaryOpICStub(SAR:Int32*Smi->Smi)"
code-creation,Stub,15,0x2b515b213ca0,332,"BinaryOpICStub(SAR:Number*Smi->Smi)"
code-creation,Stub,15,0x2b515b213e00,212,"BinaryOpICStub(SAR:Smi*Smi->Smi)"
code-creation,Stub,15,0x2b515b213ee0,212,"BinaryOpICStub(SHL:Int32*Smi->Int32)"
code-creation,Stub,15,0x2b515b213fc0,212,"BinaryOpICStub(SHL:Int32*Smi->Smi)"
code-creation,Stub,15,0x2b515b2140a0,332,"BinaryOpICStub(SHL:Number*Smi->Smi)"
code-creation,Stub,15,0x2b515b214200,212,"BinaryOpICStub(SHL:Smi*Smi->Int32)"
code-creation,Stub,15,0x2b515b2142e0,212,"BinaryOpICStub(SHL:Smi*Smi->Smi)"
code-creation,Stub,15,0x2b515b2143c0,240,"BinaryOpICStub(SHR:Int32*Smi->Smi)"
code-creation,Stub,15,0x2b515b2144c0,356,"BinaryOpICStub(SHR:Number*Smi->Int32)"
code-creation,Stub,15,0x2b515b214640,356,"BinaryOpICStub(SHR:Number*Smi->Smi)"
code-creation,Stub,15,0x2b515b2147c0,240,"BinaryOpICStub(SHR:Smi*Smi->Smi)"
code-creation,Stub,15,0x2b515b2148c0,224,"BinaryOpICStub(SUB:Int32*Int32->Int32)"
code-creation,Stub,15,0x2b515b2149a0,427,"BinaryOpICStub(SUB:Int32*Number->Number)"
code-creation,Stub,15,0x2b515b214b60,224,"BinaryOpICStub(SUB:Int32*Smi->Int32)"
code-creation,Stub,15,0x2b515b214c40,427,"BinaryOpICStub(SUB:Number*Int32->Number)"
code-creation,Stub,15,0x2b515b214e00,451,"BinaryOpICStub(SUB:Number*Number->Number)"
code-creation,Stub,15,0x2b515b214fe0,427,"BinaryOpICStub(SUB:Number*Smi->Number)"
code-creation,Stub,15,0x2b515b2151a0,224,"BinaryOpICStub(SUB:Smi*Int32->Int32)"
code-creation,Stub,15,0x2b515b215280,427,"BinaryOpICStub(SUB:Smi*Number->Number)"
code-creation,Stub,15,0x2b515b215440,224,"BinaryOpICStub(SUB:Smi*Smi->Smi)"
code-creation,Stub,15,0x2b515b215520,276,"BinaryOpICStub(MOD:Smi*2->Smi)"
code-creation,Stub,15,0x2b515b215640,276,"BinaryOpICStub(MOD:Smi*4->Smi)"
code-creation,Stub,15,0x2b515b215760,276,"BinaryOpICStub(MOD:Smi*8->Smi)"
code-creation,Stub,15,0x2b515b215880,276,"BinaryOpICStub(MOD:Smi*16->Smi)"
code-creation,Stub,15,0x2b515b2159a0,276,"BinaryOpICStub(MOD:Smi*32->Smi)"
